"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RBP4",4054.84002986558,-5.17409959343109,0.653787946853156,-7.91403331666686,2.49181570728417e-15,1.65487880866001e-13
"ADH1B",22635.0102029971,-5.14827972462895,0.824067989142877,-6.24739680761504,4.1734983232291e-10,8.61164887459505e-09
"FABP4",28593.2126317763,-5.13307086513548,0.708671554756055,-7.24322971718884,4.38123890916555e-13,1.73727200921839e-11
"TRDN",91.9507473431946,-5.13227464403215,0.685124485406185,-7.49101039789786,6.83454020492029e-14,3.20708820001926e-12
"HEPN1",239.894275733256,-5.13148583619269,0.672659837768938,-7.62864905568419,2.37226451639401e-14,1.26453143859625e-12
"PIGR",4193.89917353219,-5.11437318557809,0.633743788320932,-8.07009595964378,7.02429391410773e-16,5.30246932205642e-14
"HEPACAM",351.120341202465,-5.07140221284257,0.622398061341411,-8.14816518212241,3.69487430560043e-16,3.0138023404775e-14
"LINC01070",9.79738250813448,-5.04741668923936,0.74608025603468,-6.76524629678009,1.33082607024202e-11,3.86018965266978e-10
"TRARG1",4283.93014960471,-5.03635792091653,0.842776561168687,-5.97591123551486,2.28807567147365e-09,4.04187902227544e-08
"EDN3",221.75945559612,-5.01194455187768,0.591864427608198,-8.46806180282131,2.49509923115043e-17,2.73190887439521e-15
"SLC19A3",2318.64271627792,-5.00672202052221,0.649249446019792,-7.71155378139449,1.24295057847088e-14,7.00983751992846e-13
